Orden,Provincia,Codigo,Departamento/Partido,Cantidad de filiales,Hay filiales,Mas de cinco filiales,Mas de cincuenta filiales,Pisos con revestimiento,Agua por cañeria dentro     de la vivienda,Agua para beber y cocinar por red publica,Baño o letrina dentro de la vivienda,Dos o mas baños,Baño con inodoro con arrastre de agua,Desagüe del inodoro del baño a red publica,Gas de red o electricidad para cocinar,Vivienda propia,Internet,Celular con internet,Computadora. tablet. etc.,Inspeccion en plazo,Equipo de inspeccion
43,BUENOS AIRES,BA,FLORENTINO AMEGHINO,2,SI,SI,NO,91.9,96.2,88.4,97.8,19.2,96.5,77.8,69,69.5,79.4,87.9,54.5,SI,NO
44,BUENOS AIRES,BA,GENERAL ALVARADO,3,SI,SI,NO,91.4,96.1,88,98.3,27.3,94.6,69.4,58.2,67.6,68.4,88.2,53.3,NO,NO
45,BUENOS AIRES,BA,GENERAL ALVEAR,2,SI,SI,NO,93.9,95.5,85.6,99,20.3,96.6,68.3,65,66.4,76.8,88.8,52.9,SI,SI
46,BUENOS AIRES,BA,GENERAL ARENALES,4,SI,SI,NO,92.9,96.3,87,99.1,24.1,96.6,54.2,68.1,73.9,82.7,88.3,59.2,NO,NO
47,BUENOS AIRES,BA,GENERAL BELGRANO,3,SI,SI,NO,92.1,95.7,83.4,98.7,20.8,95.7,45,66.9,65.5,77,86.5,52.5,NO,NO
48,BUENOS AIRES,BA,GENERAL GUIDO,1,SI,SI,NO,89.1,94,78.8,97.4,13,94.5,5.9,53.8,65.3,68.3,85.1,48.2,SI,NO
49,BUENOS AIRES,BA,GENERAL JUAN MADARIAGA,2,SI,SI,NO,91.7,90.3,54.8,98.1,22.8,90.7,56.9,56.2,66.7,72.2,86.4,51.9,NO,NO
50,BUENOS AIRES,BA,GENERAL LA MADRID,3,SI,SI,NO,95.2,95.2,75.8,98.6,19,96.4,29.1,65.4,69.9,81.7,87.2,55.5,NO,SI
51,BUENOS AIRES,BA,GENERAL LAS HERAS,2,SI,SI,NO,89.8,93.5,60.2,98.1,21.5,91.4,36,46.6,62.5,77.2,89.8,55.2,SI,NO
52,BUENOS AIRES,BA,GENERAL LAVALLE,1,SI,SI,NO,87.3,90.6,59.3,98.6,15.8,87.7,42.2,32.4,74.2,70.1,88.5,49.9,NO,SI
53,BUENOS AIRES,BA,GENERAL PAZ,1,SI,SI,NO,87.2,94.5,82.7,97.7,19.1,92.6,61,54.3,64.3,68,83.8,48.1,SI,SI
54,BUENOS AIRES,BA,GENERAL PINTO,2,SI,SI,NO,91.7,96.5,85.5,98.6,18.1,95.1,76.1,49.2,69.2,63.7,85.4,49.6,NO,SI
55,BUENOS AIRES,BA,GENERAL PUEYRREDON,60,SI,NO,SI,94.2,96.9,91.8,98.9,31.7,96.3,87.4,81.3,62.1,84.7,92.6,66.6,NO,SI
56,BUENOS AIRES,BA,GENERAL RODRIGUEZ,5,SI,NO,NO,72.8,82.2,26.3,95.8,17.2,76.2,24.2,27.8,75.5,67.1,90,44,SI,NO
57,BUENOS AIRES,BA,GENERAL SAN MARTIN,37,SI,NO,NO,92.3,96.2,97,97.4,24.5,93.1,76.1,75.9,64.4,84,92,63.3,SI,NO
58,BUENOS AIRES,BA,GENERAL VIAMONTE,0,NO,SI,NO,90.8,92.2,52.9,97,20.9,93.1,66,52.5,69.7,81.1,88.1,60.3,NO,NO
59,BUENOS AIRES,BA,GENERAL VILLEGAS,6,SI,NO,NO,90.6,93.2,31.3,97.9,19.5,94.1,48.5,30.2,68,79.5,88.2,54.8,SI,SI
60,BUENOS AIRES,BA,GUAMINI,5,SI,NO,NO,95.5,97.4,86.6,99.3,19.1,98.1,62.7,67.3,68.1,80.5,88.9,58,SI,NO
61,BUENOS AIRES,BA,HIPOLITO YRIGOYEN,2,SI,SI,NO,92.8,96.6,88.9,98.8,23,96.3,78.8,77.3,66,78.2,87.2,57.6,SI,SI
62,BUENOS AIRES,BA,HURLINGHAM,7,SI,NO,NO,91.7,94.9,45.3,97.9,24.7,92.2,56.1,78.3,66.9,85.8,92.3,62.2,NO,NO
63,BUENOS AIRES,BA,ITUZAINGO,21,SI,NO,NO,92.7,95,25.9,98.5,33.8,92.9,38.7,81.1,71.5,87.3,93,67.7,NO,SI
64,BUENOS AIRES,BA,JOSE C PAZ,5,SI,NO,NO,78.4,84.5,14.5,95.9,16.2,75.8,8.1,40.6,72.4,77.3,90.3,45.7,NO,NO
65,BUENOS AIRES,BA,JUNIN,10,SI,NO,NO,93.5,97.3,91.2,98.4,28.6,96.4,86.5,67,65.4,84.4,91.8,66.2,NO,SI
66,BUENOS AIRES,BA,LA COSTA,7,SI,NO,NO,91.3,93.9,26.4,98.8,25.8,93.1,69.2,42.8,61.2,76.3,90.3,52.4,SI,SI
67,BUENOS AIRES,BA,LA MATANZA,62,SI,NO,SI,80.1,91.3,90.7,94.6,19.2,83.6,58.8,57.1,67.5,79.6,90.8,51.3,SI,NO
68,BUENOS AIRES,BA,LA PLATA,55,SI,NO,SI,89.4,94.9,87.9,97.1,30.7,92.2,69.5,74.7,62.6,85.4,93.1,71,SI,SI
69,BUENOS AIRES,BA,LANUS,32,SI,NO,NO,92.3,96.4,96.2,96.6,24.2,93,57.5,79.2,65.6,86.5,92,64.5,SI,SI
70,BUENOS AIRES,BA,LAPRIDA,2,SI,SI,NO,96.4,98.3,91.7,99.3,21.3,98.6,78.8,78.1,69.4,81.4,87.8,54.8,NO,SI
